1714680574.1423166, 302, 0, 0
1714680574.1570263, 302, 0, 0
1714680574.173453, 302, 0, 0
1714680574.2070167, 302, 0, 0
1714680574.2384443, 302, 0, 0
1714680574.2699795, 302, 0, 0
1714680574.3058162, 303, 0, 0
1714680574.3341055, 303, 0, 0
1714680574.366369, 303, 0, 0
1714680574.3984764, 302, 0, 0
1714680574.4320817, 302, 0, 0
1714680574.4620626, 302, 0, 0
1714680574.5102181, 301, 0, 0
1714680574.5437944, 301, 0, 0
1714680574.5781066, 299, 0, 0
1714680574.6083982, 297, 0, 0
1714680574.6381993, 295, 0, 0
1714680574.6707008, 293, 0, 0
1714680574.7030497, 292, 0, 0
1714680574.7355473, 290, 0, 0
1714680574.766491, 289, 0, 0
1714680574.7978811, 287, 0, 0
1714680574.8310237, 286, 0, 0
1714680574.8785162, 284, 0, 0
1714680574.9107301, 283, 0, 0
1714680574.9432373, 280, 0, 0
1714680574.9746087, 278, 0, 0
1714680575.0074148, 276, 0, 0
1714680575.0389876, 274, 1, 2
1714680575.0709615, 271, 1, 2
1714680575.1036346, 298, 1, 2
1714680575.1366768, 294, 1, 2
1714680575.16631, 289, 1, 2
1714680575.2144482, 284, 1, 2
1714680575.2491353, 278, 1, 2
1714680575.2781906, 276, 1, 2
1714680575.3127656, 273, 1, 2
1714680575.3433595, 267, 1, 2
1714680575.375965, 262, 1, 2
1714680575.406729, 255, 1, 2
1714680575.4380004, 249, 1, 2
1714680575.4719794, 249, 1, 2
1714680575.5030653, 238, 1, 2
1714680575.535101, 230, 2, 2
1714680575.584636, 222, 2, 2
1714680575.6154695, 210, 2, 2
1714680575.6478243, 199, 2, 2
1714680575.6817636, 188, 2, 2
1714680575.711784, 176, 2, 2
1714680575.7419682, 168, 2, 2
1714680575.77534, 157, 2, 2
1714680575.807854, 133, 2, 2
1714680575.8411398, 122, 2, 2
1714680575.8712745, 115, 2, 2
1714680575.9201496, 110, 2, 2
1714680575.9526498, 103, 2, 2
1714680575.9834986, 96, 2, 2
1714680576.0170722, 88, 2, 2
1714680576.047814, 83, 2, 2
1714680576.0793362, 79, 2, 2
1714680576.1106718, 76, 3, 2
1714680576.1426158, 72, 3, 2
1714680576.176262, 69, 3, 2
1714680576.2062004, 66, 3, 2
1714680576.2384164, 85, 3, 2
1714680576.2877612, 81, 2, 2
1714680576.3180382, 77, 2, 2
1714680576.351098, 74, 3, 2
1714680576.383513, 70, 3, 2
1714680576.413798, 67, 3, 2
